OBJECTID,LOCATION,Longtitude,Latitude,INTID
787,"COLUMBIA ST, PATTULLO BRIDGE DECK",507374.4607,5450718.845,INT812
788,"EIGHTH AVE, HENLEY ST",504930.8656,5450969.375,INT388
789,"SALTER ST, JENSEN ST",505516.1655,5448922.445,INT3
790,"SEVENTH ST, GLOUCESTER ST",506312.3697,5450316.76,INT449
791,HOWAY ST,505325.8954,5450572.817,INT250
792,"COLUMBIA ST, MCKENZIE ST",506639.7012,5449988.834,INT453
793,"E SIXTH AVE, E SEVENTH AVE",507091.5,5452458.86,INT352
794,"KAMLOOPS ST, STEWARDSON WAY",505078.9413,5450088.26,INT839
795,"PATTULLO ON-RAMP, PATTULLO BRIDGE DECK",507354.0013,5450734.932,INT490
796,"SOUTH DYKE RD, SPAGNOL ST",503495.501,5447287.199,INT69
797,"EWEN AVE, BOUNDARY RD",503111.7731,5447670.539,INT925
798,"FIRST ST, DURHAM ST",506207.2859,5451879.93,INT233
799,RENAISSANCE SQ,505487.0309,5449676.785,INT863
800,"SALTER ST, BOYNE ST",504680.9438,5448290.871,INT94
801,"MCKAY ST, E DURHAM ST",507011.0701,5452535.004,INT334
802,"FRONT ST, MCKENZIE ST",506687.0685,5449935.258,INT861
803,"FIFTH AVE, FOURTEENTH ST",504961.2592,5450200.365,INT116
804,"EIGHTH AVE, FOURTH ST",505726.0971,5451626.142,INT158
805,"ROYAL AVE, THIRD ST",506777.2877,5450574.179,INT138
806,"CHURCHILL AVE, CHERRY ST",507164.1766,5453108.59,INT556
807,"PATTULLO ON-RAMP, ROYAL AVE, MCBRIDE OFF-RAMP, DUFFERIN ST",507187.0721,5450894.123,INT489
808,"RIVER DR, TWENTIETH ST",504081.6292,5449616.575,INT537
809,"FIFTH AVE, HOWAY ST",505360.4184,5450529.097,INT252
810,ROYAL AVE,506786.5583,5450562.877,INT182
811,BRAID ST,508562.4608,5453169.021,INT614
812,"SALTER ST, CARTER ST",504230.1251,5448004.858,INT804
813,STANLEY ST,505013.9513,5448680.838,INT918
814,"BLAIR AVE, SHERBROOKE ST",507467.0685,5452802.673,INT548
815,"CANFOR AVE, CAPILANO WAY",508331.6221,5452666.354,INT280
816,"ROYAL AVE, SEVENTH ST",506378.8441,5450236.093,INT450
817,"FIFTH AVE, OAK ST",506157.8245,5451187.502,INT190
818,"CARIBOO ST, FOURTEENTH ST",505000.3489,5450153.037,INT296
819,GLEN CT,506921.2506,5451883.636,INT630
820,"WOOD ST, CRANE PL",504357.9605,5448602.164,INT107
821,"FURNESS ST, FOUNDRY ROW",505279.1943,5449141.118,INT799
822,"ALICE ST, DUFFERIN ST",507224.9908,5450848.226,INT696
823,"SEVENTH AVE, FIRST ST",506278.1642,5451794.469,INT143
824,GIFFORD ST,503509.1348,5447988.372,INT917
825,MARINE WAY,503551.3,5449406.89,INT575
826,E COLUMBIA ST,507824.9386,5453898.918,INT705
827,QUAYSIDE DR,506224.6414,5449654.782,INT656
828,ASH ST,505654.9047,5450954.803,INT712
829,"EDDIE DR, GLEN CT",506876.4723,5451923.956,INT628
830,BLACKBERRY DR,507132.0085,5451667.312,INT601
831,"FOURTH AVE, PINE ST",506311.2778,5451027.256,INT188
832,"DURHAM ST, FOURTH ST",505796.6178,5451540.682,INT197
833,EDINBURGH ST,503250.4607,5449703.582,INT791
834,"CUNNINGHAM ST, SEVENTH ST",506420.7198,5450185.357,INT279
835,EWEN AVE,503095.3462,5447666.323,INT926
836,NINTH AVE,503055.3781,5449897.779,INT787
837,"FADER ST, MAJOR ST",507994.5461,5452993.438,INT692
838,"DUFFERIN ST, AGNES ST",507259.0609,5450807.102,INT5
839,FOURTEENTH ST,505067.7269,5450075.841,INT865
840,"FOURTEENTH ST, STEWARDSON WAY",505048.8532,5450093.906,INT302
841,"VANCOUVER ST, GRANVILLE ST",507063.5351,5451000.44,INT238
842,"BRUNETTE AVE, BRAID ST",508530.25,5453183.518,INT673
843,"AGNES ST, SEVENTH ST",506455.6118,5450143.716,INT278
844,"FIRST ST, PRINCESS ST",506338.4591,5451721.476,INT142
845,"PHILLIPS ST, CANIL AVE",503236.3134,5447517.941,INT11
846,"FURNESS ST, DUNCAN ST",505291.28,5449114.55,INT798
847,"FOURTH AVE, FOURTEENTH ST",505104.4761,5450031.601,INT864
848,"DEVOY ST, ALBERTA ST",507184.9652,5452334.147,INT353
849,"MARINE WAY, TWENTIETH ST",503976.746,5449702.415,INT534
850,"COLUMBIA ST, TENTH ST, FRONT ST",506155.5942,5449708.58,INT652
851,"DUNCAN ST, BOYD ST, DERWENT WAY",504580.7391,5449090.327,INT919
852,"SEVENTH AVE, FOURTH ST",505867.2391,5451455.45,INT196
853,MARINE DR,503461.4463,5449476.615,INT973
854,"E EIGHTH AVE, SANGSTER PL",506513.2133,5452268.839,INT592
855,"FIFTH AVE, ASH ST",505744.3653,5450846.143,INT713
856,"WILSON ST, SHERBROOKE ST",508179.3832,5452790.909,INT542
857,"TENTH AVE, EIGHTEENTH ST",503805.068,5450590.582,INT833
858,"EWEN AVE, FURNESS ST",505316.9994,5449077.989,INT30
859,"SIXTH AVE, FIRST ST",506399.8797,5451647.12,INT417
860,"FOURTH AVE, OAK ST",506298.8872,5451016.993,INT189
861,"LEVI ST, FOURTEENTH ST",505158.1487,5449966.071,INT262
862,"EWEN AVE, FURNESS ST",505322.1423,5449069.925,INT9
863,"FRANCIS WAY, E ROYAL AVE",507457.4964,5451317.046,INT18
864,"ROYAL AVE, GRANVILLE ST",507167.4287,5450875.451,INT237
865,"EWEN AVE, WOOD ST",504421.4801,5448505.816,INT53
866,GOVERNORS CT,507609.9108,5451892.217,INT507
867,"PRINCESS ST, FOURTH ST",505927.866,5451382.124,INT195
868,"THIRD AVE, PINE ST, PEARSON ST",506452.6339,5450857.428,INT187
869,DUBLIN ST,503170.2477,5449755.502,INT790
870,"EWEN AVE, GIFFORD ST",503527.3516,5447935.966,INT66
871,"THIRD AVE, FOURTEENTH ST",505258.2475,5449857.276,INT665
872,VULCAN ST,508691.0128,5452998.78,INT36
873,"E COLUMBIA ST, SIMPSON ST, NELSON CT",507798.0055,5452430.55,INT621
874,"PRESCOTT ST, ASH ST",505812.7233,5450763.08,INT715
875,"BOLE ST, MAPLE ST",505231.9363,5450613.003,INT247
876,"THIRD AVE, FOURTEENTH ST",505251.4337,5449861.525,INT896
877,"E TENTH AVE, MASSEY ST",506601.2018,5452894.806,INT574
878,"THIRD AVE, MOWAT ST",505649.3646,5450194.251,INT400
879,FOURTEENTH ST,505303.75,5449808.62,INT664
880,"LONDON ST, EIGHTEENTH ST",503873.1459,5450508.012,INT884
881,"FIRST ST, REGINA ST",506463.5771,5451569.789,INT421
882,"QUAYSIDE DR, RIALTO CT",505359.9929,5449747.867,INT662
883,"WARREN AVE, PEARSON ST",506500.6382,5450799.009,INT135
884,FRANCIS WAY,507195.8521,5451564.785,INT20
885,"FRANCIS WAY, MEMORIAL DR",507245.832,5451514.139,INT19
886,"SIXTH AVE, FOURTH ST",505988.0059,5451309.074,INT174
887,"SALTER ST, PHILLIPS ST",503309.5628,5447411.271,INT914
888,"E TENTH AVE, RICHMOND ST",507396,5453551.832,INT520
889,"TENTH AVE, EIGHTH ST",504993.9297,5451570.297,INT128
890,"MINER ST, GOVERNORS CT",507579.7391,5451906.283,INT504
891,"FOURTH AVE, ASH ST",505884.6632,5450675.081,INT126
892,"MASSEY ST, RICKMAN PL",506660.1517,5452821.533,INT570
893,"FIRST ST, FIFTH AVE",506527.6163,5451492.236,INT422
894,"DUBLIN ST, EIGHTEENTH ST",503940.2178,5450426.67,INT885
895,"FIFTH AVE, MAPLE ST",505324.3185,5450499.85,INT249
896,"EIGHTH ST, LONDON ST",505063.9712,5451489.295,INT127
897,"SOUTH DYKE RD, CARTER ST",504356.7327,5447813.037,INT808
898,"REGINA ST, FOURTH ST",506052.6402,5451230.911,INT192
899,RENNIE PL,504256.1703,5448644.06,INT894
900,E EIGHTH AVE,507701.63,5453233.29,INT818
901,"FIRST ST, ELGIN ST",506562.9221,5451449.686,INT689
902,EDDIE DR,506849.1055,5451893.019,INT627
903,"GIFFORD ST, ECKERT AVE",503553.562,5447881.227,INT76
904,"WELLINGTON ST, HASTINGS ST, FIRST ST",507299.8451,5450709.109,INT7
905,"SEVENTH AVE, MARINE DR, TRAPP RD",503414.402,5449480.284,INT680
906,"BRAID ST, GRIFFITHS PL",507709.46,5453220.086,INT527
907,"QUEENS AVE, MOWAT ST",505791.2262,5450024.126,INT402
908,WARREN AVE,506487.3239,5450787.934,INT444
909,"EDINBURGH ST, EIGHTEENTH ST",504007.7425,5450345.432,INT886
910,"CHURCHILL AVE, MASSEY ST",506732.0457,5452734.584,INT568
911,"FIRST ST, ST. PATRICK ST",506597.6069,5451407.534,INT424
912,"EIGHTH ST, DUBLIN ST",505133.1256,5451409.08,INT159
913,"EWEN AVE, DERWENT WAY",504844.3501,5448775.055,INT55
914,"FIFTH AVE, FOURTH ST",506116.8978,5451153.032,INT191
915,GOVERNORS CT,507666.3255,5451794.531,INT633
916,"WALMSLEY ST, ASH ST",505987.3073,5450551.642,INT711
917,E COLUMBIA ST,507808.9846,5453111.998,INT703
918,"FIRST ST, OAKLAND ST",506633.0369,5451364.771,INT426
919,LORNE ST,506428.5813,5450107.725,INT650
920,"RICHMOND ST, SHERBROOKE ST",507384.196,5452804.056,INT510
921,"TENTH AVE, FIFTEENTH ST",504177.2786,5450897.758,INT670
922,"BUCHANAN AVE, HOSPITAL ST",507548.2077,5452640.357,INT325
923,"ROYAL AVE, COBURG ST",507142.9994,5450853.677,INT491
924,"LORNE ST, VICTORIA ST",506458.4232,5450076.153,INT649
925,GLEN CT,506807.4615,5451918.515,INT629
926,"ALBERTA ST, HARVEY ST",507120.257,5452335.209,INT704
927,"E SIXTH AVE, GINGER DR",506770.9796,5451952.279,INT598
928,"THIRD AVE, ASH ST",506025.942,5450504.456,INT40
929,"EIGHTH AVE, EIGHTEENTH ST",504074.7129,5450263.83,INT746
930,"EIGHTH ST, EDINBURGH ST",505201.0638,5451329.102,INT160
931,"FIRST ST, FOURTH AVE",506668.3525,5451321.872,INT430
932,HIGHWAY 91A,503770.9944,5448373.692,INT49
933,"CARNARVON ST, LORNE ST",506493.7633,5450031.5,INT729
934,"GARFIELD ST, BRAID ST",507596.4098,5453311.61,INT524
935,"GIFFORD ST, BASRAN AVE",503597.6418,5447811.751,INT75
936,"MCDONALD ST, BRAID ST",507643.019,5453262.886,INT523
937,CRANE PL,504308.2033,5448561.475,INT895
938,SPARKS CT,503800.2895,5447608.312,INT807
939,"LONDON ST, FIFTEENTH ST",504245.4857,5450815.016,INT955
940,"AGNES ST, COBURG ST",507213.2823,5450768.663,INT698
941,"EIGHTH AVE, EIGHTH ST",505270.4672,5451250.052,INT161
942,"THIRD AVE, QUAYSIDE DR",505220.8876,5449836.3,INT952
943,"E TENTH AVE, LAUREL ST",506970.09,5453200.34,INT618
944,HIGHWAY 91A,503774.1002,5448359.458,INT50
945,"HAMILTON ST, EIGHTEENTH ST",504145.1688,5450178.279,INT745
946,"E EIGHTH AVE, MASSEY ST",506872.9949,5452563.992,INT328
947,"BRAID ST, E EIGHTH AVE",507682.9267,5453214.592,INT826
948,"SOUTH DYKE RD, PHILLIPS ST",503421.8335,5447247.341,INT913
949,"KELLY ST, MAJOR ST",507901.0075,5452994.833,INT693
950,BOUNDARY RD,503117.7811,5448281.329,INT934
951,"FOURTH AVE, FOURTH ST",506257.7728,5450982.585,INT193
952,"TENTH AVE, FIFTH ST",505364.1036,5451875.247,INT156
953,"SIXTH AVE, ELEVENTH ST",505156.8627,5450620.917,INT393
954,MARINE WAY,503438.81,5449416.32,INT899
955,"DUBLIN ST, FIFTEENTH ST",504312.3802,5450733.885,INT840
956,"FIRST ST, EMORY ST",506771.5668,5451196.952,INT432
957,"SALTER ST, FURNESS ST",505456.068,5448859.93,INT4
958,"TENTH AVE, TWENTY-FIRST ST",503363.7697,5450221.253,INT779
959,"HAMILTON ST, EIGHTH ST",505341.2609,5451165.69,INT154
960,"THIRD AVE, SHAW ST",505612.4503,5450163.156,INT401
961,"SIXTH AVE, SHARPE ST",504754.4573,5450290.194,INT273
962,"SEVENTH AVE, EIGHTEENTH ST",504215.6459,5450092.902,INT888
963,"FIRST ST, THIRD AVE",506809.7084,5451151.248,INT482
964,"QUEENS AVE, ASH ST",506169.6768,5450329.793,INT716
965,"NINTH AVE, TWENTY-FIRST ST",503397.5065,5450180.243,INT721
966,BRAID ST,508997.1774,5452615.756,INT613
967,"E SIXTH AVE, ALBERTA ST",507085.2352,5452335.781,INT321
968,"E DURHAM ST, MASSEY ST",506942.1883,5452478.581,INT327
969,COLBY ST,507702.4027,5453908.389,INT706
970,MARINE WAY,503916.2489,5449658.691,INT774
971,"GARRETT ST, SHERBROOKE ST",508085.4968,5452792.542,INT545
972,"GIFFORD ST, GALBRAITH AVE",503647.8072,5447733.09,INT73
973,"SEVENTH AVE, EIGHTH ST",505413.1625,5451081.07,INT152
974,"STEWARDSON WAY, RIVER DR",504368.4205,5449933.477,INT668
975,"EDINBURGH ST, FIFTEENTH ST",504379.706,5450652.334,INT954
976,LONDON PL,502983.1787,5449855.487,INT268
977,EIGHTH AVE,506316.2808,5452115.941,INT977
978,"NELSON CT, NELSON CR",507866.8489,5452428.54,INT978
979,"KELVIN ST, TWELFTH ST",504901.5794,5450730.877,INT979
980,"KELVIN ST, THIRTEENTH ST",504789.4514,5450638.211,INT980
981,"KELVIN ST, FOURTEENTH ST",504676.8001,5450545.071,INT981
982,"CAMATA ST, EWEN AVE",505191.6955,5448994.32,INT982
