OBJECTID,LOCATION,Longtitude,Latitude,INTID
225,"BLACKLEY ST, MERCER ST",505065.5146,5449057.447,INT92
226,"THIRD AVE, LOUELLEN ST",505506.9783,5450076.81,INT122
227,MARINE DR,503118.0556,5449543.517,INT582
228,MCBRIDE BLVD,506835.6589,5451667.863,INT599
229,"REGINA ST, SECOND ST",506320.3245,5451451.485,INT172
230,"THIRD AVE, FIFTH ST",506305.3809,5450735.319,INT206
231,"TENTH AVE, SIXTEENTH ST",504053.0885,5450795.02,INT694
232,"KELLY ST, SHERBROOKE ST",507897.9613,5452794,INT761
233,"RICKMAN PL, JACKSON CR",506521.4286,5452709.683,INT572
234,JACK MAHONY PL,506512.5444,5451988.019,INT228
235,"EIGHTH ST, AGNES ST",506299.0318,5450009.683,INT651
236,"HARVEY ST, DIXON ST",507116.5517,5452109.711,INT323
237,BEACH ST,505028.5593,5449083.72,INT797
238,"COURTNEY CR, MCBRIDE BLVD",506107.3024,5452387.581,INT590
239,"GALBRAITH AVE, SUZUKI ST",503530.701,5447659.013,INT74
240,"FIFTH AVE, TWELFTH ST",505186.7415,5450385.45,INT293
241,"VICTORIA ST, EIGHTH ST",506331.3914,5449970.407,INT854
242,"LONDON ST, NINETEENTH ST",503724.1729,5450385.148,INT724
243,MAYES ST,504717.54,5450122.27,INT22
244,"FIFTH AVE, SECOND ST",506384.4748,5451374.038,INT423
245,"SOUTH DYKE RD, DOCKSIDE CRT",503288.6016,5447164.077,INT25
246,"LONDON ST, SIXTEENTH ST",504121.3422,5450712.745,INT750
247,"CARNARVON ST, EIGHTH ST",506367.052,5449926.822,INT857
248,"MCBRIDE BLVD, E TENTH AVE, TENTH AVE",506046.863,5452436.921,INT585
249,"QUEENS AVE, BONSON ST",506855.8786,5450896.782,INT435
250,"E SIXTH AVE, FISHER ST",507006.0457,5452207.203,INT497
251,MARINE WAY,503320.64,5449317.79,INT580
252,MCBRIDE BLVD,506107.25,5452374.34,INT584
253,"SECOND ST, ELGIN ST",506419.3117,5451331.136,INT822
254,MINER ST,507455.2448,5451756.314,INT506
255,"TWELFTH ST, CAMERON ST",505257.0624,5450300.229,INT301
256,"BLACKBERRY DR, MCBRIDE BLVD",506953.2524,5451526.075,INT600
257,"E EIGHTH AVE, BUCHANAN AVE",507555.6607,5453114.281,INT529
258,"RIVER DR, FIFTH AVE",504290.4242,5449804.776,INT770
259,"DUBLIN ST, NINETEENTH ST",503791.3408,5450303.707,INT841
260,"RICHMOND ST, WINTHROP ST",507391.9154,5453277.74,INT754
261,"ROYAL AVE, COLUMBIA ST",505817.1504,5449735.688,INT905
262,"ST. PATRICK ST, SECOND ST",506454.614,5451288.666,INT425
263,"EIGHTH AVE, SIXTH ST",505539.8308,5451473.255,INT456
264,"PARK ROW, BONSON ST",506954.2522,5450788.309,INT475
