X,Y,OBJECTID,LOCATION,Longtitude,Latitude,INTID
-13686283.2,6308630.681,130,"RIVER DR, TWENTY-FIRST ST",503935.8718,5449537.33,INT536
-13679377.63,6312898.673,131,CAPILANO WAY,508450.842,5452326.811,INT540
-13683236.88,6312292.239,132,"OVENS AVE, SECOND ST",505926.9222,5451927.97,INT225
-13684295.63,6309991.394,133,"FIFTH AVE, LOUELLEN ST",505235.7663,5450426.282,INT409
-13683290.47,6311221.119,134,"SIXTH AVE, FIFTH ST",505892.6125,5451229.224,INT455
-13683571.2,6309261.075,135,"QUEENS AVE, ELEVENTH ST",505710.274,5449950.235,INT406
-13683216.31,6312267.37,136,"SECOND ST, OSBORNE AVE",505940.3937,5451911.764,INT218
-13680761.36,6314282.805,137,"WINTHROP ST, ELMER ST",507544.5017,5453228.194,INT34
-13681875.83,6309795.5,138,"CARNARVON ST, FOURTH ST",506819.2653,5450300.201,INT645
-13679849.85,6313363.366,139,"BRUNETTE AVE, ALLEN ST",508141.5165,5452629.424,INT616
-13682106.22,6311146.23,140,ARBUTUS ST,506667.4472,5451181.252,INT431
-13684055.68,6307499.588,141,"SALTER ST, HOLLY AVE",505394.3608,5448800.413,INT28
-13681950.85,6313230.232,142,"YORK ST, JACKSON CR",506767.4256,5452540.735,INT329
-13684966.51,6310654.424,143,"EIGHTH AVE, TWELFTH ST",504796.4099,5450858.461,INT286
-13683210.08,6310009.348,144,"THIRD AVE, EIGHTH ST",505946.0587,5450438.717,INT39
-13680727.66,6314241.771,145,"MCDONALD ST, WINTHROP ST",507566.5797,5453201.465,INT33
-13680842.28,6314356.618,146,"AMESS ST, WINTHROP ST",507491.5171,5453276.256,INT690
-13681024.2,6312294.712,147,RICHMOND ST,507374.34,5451931.33,INT501
-13681811.03,6309720.049,148,"CLARKSON ST, FOURTH ST",506861.728,5450251.024,INT965
-13680361.75,6313868.724,149,"E COLUMBIA ST, WARD ST",507806.2283,5452958.52,INT756
-13683080.47,6310994.644,150,"FIFTH AVE, FIFTH ST",506030.162,5451081.628,INT194
-13683134.61,6312167.626,151,"EIGHTH AVE, SECOND ST",505993.9055,5451846.76,INT221
-13681904.7,6313172.312,152,"E EIGHTH AVE, YORK ST",506797.6558,5452502.996,INT330
-13684912.8,6310588.998,153,"KINGSTON ST, TWELFTH ST",504831.5903,5450815.807,INT287
-13687028.63,6305992.815,154,ECKERT AVE,503449.116,5447815.381,INT77
-13684034.14,6307465.412,155,HOLLY AVE,505408.4797,5448778.122,INT29
-13682319.55,6312465.459,156,MCBRIDE BLVD,506526.858,5452041.634,INT593
-13680670.28,6314169.68,157,"E EIGHTH AVE, WINTHROP ST",507604.1715,5453154.504,INT827
-13681013.1,6312270.896,158,"RICHMOND ST, SEYMOUR CRT",507381.6246,5451915.805,INT637
-13681753.6,6309650.672,159,"COLUMBIA ST, FOURTH ST",506899.3638,5450205.804,INT471
-13683471.75,6309136.066,160,"AUCKLAND ST, ELEVENTH ST",505775.4387,5449868.733,INT405
-13681011.9,6313385.101,161,"RICHMOND ST, HOSPITAL ST",507381.4384,5452642.528,INT550
-13679637.26,6314245.343,162,"ROUSSEAU ST, BRAID ST",508279.6979,5453204.82,INT611
-13680339.02,6314949.368,163,"E COLUMBIA ST, HOLMES ST",507820.0966,5453663.243,INT700
-13684858.08,6310521.997,164,"HAMILTON ST, TWELFTH ST",504867.43,5450772.127,INT411
-13680381,6312747.893,165,"E COLUMBIA ST, STRAND AVE",507794.6743,5452227.5,INT508
-13681814.39,6311945.729,166,GINGER DR,506857.7259,5451703.026,INT631
-13681152.99,6314642.931,167,"E TENTH AVE, KENT ST",507288.07,5453462.69,INT944
-13683419.52,6309072.077,168,"QUEBEC ST, ELEVENTH ST",505809.6601,5449827.014,INT404
-13687361.66,6308549.273,169,"MARINE DR, FENWICK AVE",503230.1246,5449483.748,INT581
-13681542.79,6312789.659,170,"E SIXTH AVE, LIDSTER PL",507034.6944,5452253.719,INT322
-13681692.43,6309574.064,171,"FRONT ST, FOURTH ST",506939.4545,5450155.869,INT470
-13683027.04,6312036.624,172,"DURHAM ST, SECOND ST",506064.3684,5451761.386,INT230
-13686623.01,6308925.119,173,SEVENTH AVE,503713.36,5449729.31,INT684
-13681579.38,6312823.157,174,LIDSTER PL,507010.736,5452275.536,INT498
-13683053.5,6309818.794,175,"EIGHTH ST, MILTON ST",506048.65,5450314.5,INT37
-13682723.47,6312848.986,176,CLUTE ST,506262.3557,5452291.482,INT958
-13681799.04,6313041.563,177,"E DURHAM ST, YORK ST",506866.8717,5452417.806,INT333
-13686641.11,6305577.387,178,PRETTY CT,503702.9848,5447544.364,INT806
-13682512.48,6309269.358,179,"CARNARVON ST, ALEXANDER ST",506403.0747,5449956.4,INT856
-13683365.46,6309005.57,180,"ROYAL AVE, ELEVENTH ST",505845.0845,5449783.654,INT124
-13682819.86,6312940.195,181,"MOTT CR, MCBRIDE BLVD",506199.2354,5452350.9,INT479
-13687442.07,6305255.444,182,"SALTER ST, DOCKSIDE CRT",503178.7393,5447333.872,INT26
-13678950.96,6314654.797,183,BRUNETTE AVE,508728.1143,5453472.522,INT825
-13683081.44,6310956.196,184,"FIFTH ST, FIFTH AVE",506029.5536,5451056.545,INT642
-13684751.81,6310393.028,185,"SEVENTH AVE, TWELFTH ST",504937.0367,5450688.047,INT288
-13685752.87,6306915.526,186,"EWEN AVE, MCGILLVRAY PL",504283.809,5448418.241,INT109
-13679934.71,6314518.94,187,GARRETT ST,508084.906,5453382.948,INT906
-13681306.54,6313655.612,188,"E EIGHTH AVE, CHERRY ST, DEVOY ST, SHERBROOKE ST",507188.4906,5452818.696,INT511
-13682990.27,6309741.56,189,"QUEENS AVE, EIGHTH ST",506090.0791,5450264.153,INT38
-13684088.49,6309721.614,190,"FOURTH AVE, LOUELLEN ST",505371.4754,5450250.391,INT300
-13680993.15,6314455.683,191,"RICHMOND ST, KENT ST",507392.7624,5453340.725,INT753
-13682919.52,6311906.276,192,"SEVENTH AVE, SECOND ST",506134.8002,5451676.438,INT231
-13684625.41,6308015.445,193,"DUNCAN ST, MERCER ST",505021.1567,5449136.721,INT87
-13682274.73,6309014.948,194,QUAYSIDE DR,506558.8534,5449790.576,INT244
-13682446.05,6309186.235,195,ALEXANDER ST,506446.6124,5449902.213,INT859
-13682101.41,6312199.626,196,"E SIXTH AVE, MCBRIDE BLVD, SIXTH AVE",506669.7623,5451868.41,INT597
-13681693.71,6312910.722,197,"E SEVENTH AVE, YORK ST",506935.8783,5452332.555,INT350
-13681538.78,6310511.929,198,"ROYAL AVE, WINDSOR ST",507039.2133,5450767.904,INT643
-13684724.78,6306984.76,199,SALTER ST,504956.7228,5448463.993,INT78
-13684653.78,6310273.765,200,"NANAIMO ST, TWELFTH ST",505001.2514,5450610.295,INT410
-13682392.45,6309119.17,201,COLUMBIA ST,506481.7401,5449858.492,INT819
-13682875.39,6310725.192,202,"FIFTH ST, FOURTH AVE",506164.5345,5450905.99,INT144
-13682827,6311795.507,203,"PRINCESS ST, SECOND ST",506195.4075,5451604.25,INT232
-13684240.43,6312094.04,204,"TENTH AVE, SIXTH ST",505270.5747,5451798.022,INT457
-13687256.07,6308399.131,205,"TRAPP RD, FENWICK AVE",503299.2862,5449385.811,INT845
-13681485.87,6310445.705,206,"WINDSOR ST, CUNNINGHAM ST",507073.8917,5450724.743,INT646
-13681561.5,6313885.152,207,"CHURCHILL AVE, LAUREL ST",507021.5458,5452968.177,INT557
-13680482.86,6311678.261,208,"E COLUMBIA ST, RICHMOND ST",507729.0241,5451529.706,INT636
-13686094.89,6306111.619,209,"SALTER ST, HOWES ST",504060.3195,5447893.347,INT805
-13686971.55,6305869.514,210,"BASRAN AVE, SUZUKI ST",503486.5332,5447734.918,INT928
-13685787.21,6309160.52,211,"STEWARDSON WAY, SIXTH AVE, MARINE WAY",504260.2,5449883.31,INT897
-13685417.14,6306547.188,212,"SALTER ST, CAMPBELL ST",504503.7618,5448178.001,INT95
-13684565.3,6310167.48,213,"SIXTH AVE, TWELFTH ST",505059.2061,5450541.004,INT290
-13687209.25,6308340.38,214,MARINE WAY,503329.95,5449347.49,INT976
-13681432.64,6310380.533,215,"AGNES ST, WINDSOR ST",507108.7726,5450682.268,INT967
-13683391.29,6308983.424,216,ROYAL AVE,505828.1951,5449769.186,INT125
-13686602.78,6306607.198,217,HAMPTON ST,503727.6264,5448216.592,INT911
-13685898.23,6309258.344,218,NANAIMO ST,504187.5007,5449947.086,INT887
-13682790.26,6309497.395,219,"ROYAL AVE, EIGHTH ST",506221.1372,5450104.986,INT451
